"","edo","year","sexo","tipo_enfermedad","tasa"
"400","Michoacán",2003,"F","trans",46.8
"401","Morelos",2003,"F","trans",53.4
"402","Nayarit",2003,"F","trans",56.4
"403","Nuevo León",2003,"F","trans",43.4
"404","Oaxaca",2003,"F","trans",95.5
"405","Puebla",2003,"F","trans",82.8
"406","Querétaro",2003,"F","trans",70.7
"407","Quintana Roo",2003,"F","trans",55.4
"408","San Luis Potosí",2003,"F","trans",64.8
"409","Sinaloa",2003,"F","trans",44.4
"410","Sonora",2003,"F","trans",70.3
"411","Tabasco",2003,"F","trans",65.9
"412","Tamaulipas",2003,"F","trans",39.7
"413","Tlaxcala",2003,"F","trans",66.7
"414","Veracruz",2003,"F","trans",63.7
"415","Yucatán",2003,"F","trans",58.7
"416","Zacatecas",2003,"F","trans",65.2
"417","Aguascalientes",2004,"F","trans",51
"418","Baja California",2004,"F","trans",64.6
"419","Baja California Sur",2004,"F","trans",64.9
"420","Campeche",2004,"F","trans",54.4
"421","Coahuila",2004,"F","trans",48.2
"422","Colima",2004,"F","trans",53.5
"423","Chiapas",2004,"F","trans",100.6
"424","Chihuahua",2004,"F","trans",59.8
"425","Distrito Federal",2004,"F","trans",55.7
"426","Durango",2004,"F","trans",40.9
"427","Guanajuato",2004,"F","trans",57.2
"428","Guerrero",2004,"F","trans",56.4
"429","Hidalgo",2004,"F","trans",55.2
"430","Jalisco",2004,"F","trans",61
"431","México",2004,"F","trans",66.8
"432","Michoacán",2004,"F","trans",50.9
"433","Morelos",2004,"F","trans",54.6
"434","Nayarit",2004,"F","trans",54.2
"435","Nuevo León",2004,"F","trans",41.3
"436","Oaxaca",2004,"F","trans",88.5
"437","Puebla",2004,"F","trans",78.7
"438","Querétaro",2004,"F","trans",59.3
"439","Quintana Roo",2004,"F","trans",58.8
"440","San Luis Potosí",2004,"F","trans",56.7
"441","Sinaloa",2004,"F","trans",40.5
"442","Sonora",2004,"F","trans",68.2
"443","Tabasco",2004,"F","trans",53.9
"444","Tamaulipas",2004,"F","trans",45.4
"445","Tlaxcala",2004,"F","trans",66
"446","Veracruz",2004,"F","trans",63.4
"447","Yucatán",2004,"F","trans",63.2
"448","Zacatecas",2004,"F","trans",50.2
"449","Aguascalientes",2005,"F","trans",56.5
"450","Baja California",2005,"F","trans",63.2
"451","Baja California Sur",2005,"F","trans",72.5
"452","Campeche",2005,"F","trans",57.7
"453","Coahuila",2005,"F","trans",50.4
"454","Colima",2005,"F","trans",50
"455","Chiapas",2005,"F","trans",99
"456","Chihuahua",2005,"F","trans",64.5
"457","Distrito Federal",2005,"F","trans",56.1
"458","Durango",2005,"F","trans",50.6
"459","Guanajuato",2005,"F","trans",64.2
"460","Guerrero",2005,"F","trans",53.3
"461","Hidalgo",2005,"F","trans",57
"462","Jalisco",2005,"F","trans",64.5
"463","México",2005,"F","trans",68.9
"464","Michoacán",2005,"F","trans",51.9
"465","Morelos",2005,"F","trans",56.4
"466","Nayarit",2005,"F","trans",52
"467","Nuevo León",2005,"F","trans",43.8
"468","Oaxaca",2005,"F","trans",82.8
"469","Puebla",2005,"F","trans",82.2
"470","Querétaro",2005,"F","trans",59.8
"471","Quintana Roo",2005,"F","trans",57.4
"472","San Luis Potosí",2005,"F","trans",57.8
"473","Sinaloa",2005,"F","trans",47
"474","Sonora",2005,"F","trans",69.1
"475","Tabasco",2005,"F","trans",60
"476","Tamaulipas",2005,"F","trans",44.8
"477","Tlaxcala",2005,"F","trans",72.7
"478","Veracruz",2005,"F","trans",63
"479","Yucatán",2005,"F","trans",55.8
"480","Zacatecas",2005,"F","trans",51.6
"481","Aguascalientes",2006,"F","trans",49.3
"482","Baja California",2006,"F","trans",60.9
"483","Baja California Sur",2006,"F","trans",63.1
"484","Campeche",2006,"F","trans",47.7
"485","Coahuila",2006,"F","trans",52.8
"486","Colima",2006,"F","trans",50.3
"487","Chiapas",2006,"F","trans",88.8
"488","Chihuahua",2006,"F","trans",69.2
"489","Distrito Federal",2006,"F","trans",57.9
"490","Durango",2006,"F","trans",43.6
"491","Guanajuato",2006,"F","trans",60.8
"492","Guerrero",2006,"F","trans",53.5
"493","Hidalgo",2006,"F","trans",57.3
"494","Jalisco",2006,"F","trans",57.3
"495","México",2006,"F","trans",64.1
"496","Michoacán",2006,"F","trans",48.2
"497","Morelos",2006,"F","trans",57.6
"498","Nayarit",2006,"F","trans",51.7
